round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,L_feature_effective,teacher_b_visits,teacher_b_precision,bc_feature_std,tail_gate,tail_b_old_mass,tail_b_new_mass,tail_b_old_wrong,tail_b_new_wrong,tail_a_guard_visits,tail_a_guard_correct,tail_a_removed_correct,tail_a_removed_wrong,tail_b_true_prob,tail_b_true_nll,tail_score_0_visits,tail_score_0_correct,tail_score_1_visits,tail_score_1_correct,tail_score_2_visits,tail_score_2_correct,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
226,3,0.021414549027539767,1.0,1.0,0.7294150904605263,0.90241446642057,0.6582347296570477,0.048721924155803495,0.19048622532894738,0.5359312806544135,0.10208752668756796,0.0360753044443156,0.08009868421052632,0,0.0,0,0.003899065422018267,0.14245721885542337,0.0753112523571441,0.021434667303570007,0.25048890078444136,0.007386696846285639,37061,0.6419146812012628,0.0364778290600761,0.002012853002380466,19862.149159431458,19862.14919233322,6450.0774582624435,6449.465286612511,0.0,0.0,0.0,0.0,21904.093189239502,46283.78015899658,10221.0,4064.0,11851.0,7059.0,14989.0,12667.0,0.2504889007363664,194560,760,0.44294266581143205,0.8350483141447368,40,1.0
227,3,0.020867982892622833,1.0,1.0,0.6967722039473684,0.8941675098193286,0.6230310665149438,0.0642269855757293,0.2127467105263158,0.5451193060200326,0.11597233920015003,0.04348508814460059,0.09048108552631579,0,0.0,0,0.005169632056774725,0.150915422462123,0.08669718289257665,0.02206446192570423,0.27274182089730425,0.00789512156012566,41392,0.655827212988017,0.036207479890435934,0.008035205700685166,22563.578307151794,22563.57831478119,6982.912760019302,6979.524815008044,0.0,0.0,0.0,0.0,25000.667654037476,48062.16166496277,11520.0,4575.0,12872.0,7788.0,17000.0,14783.0,0.27274182059458996,194560,760,0.4267643376596664,0.8157740542763158,40,1.0
228,3,0.02032735294339415,1.0,1.0,0.7024722450657894,0.9165322439692176,0.6438384630962422,0.05772470338300704,0.20982730263157895,0.5727690004400708,0.12018257439332573,0.039232466527947076,0.08770045230263158,0,0.0,0,0.004349984189512294,0.15210754612558766,0.0856210949585626,0.02004417558445742,0.2696379164797116,0.007515115621591624,40824,0.6491524593376445,0.03632236187297263,0.01801856965207338,23382.72165966034,23382.721673965454,7026.176484704018,7018.768998503685,0.0,0.0,0.0,0.0,24417.496933937073,48636.20127105713,11019.0,4347.0,13119.0,8065.0,16686.0,14089.0,0.2696379161390819,194560,760,0.386247276103026,0.7276058799342106,40,1.0
229,3,0.01979271846601995,1.0,1.0,0.7112407483552632,0.9187731697201003,0.6534689168004613,0.051990379085519206,0.20297594572368421,0.5731579472990814,0.11633727640207661,0.0400765848971021,0.08578330592105263,0,0.0,0,0.005232967684423784,0.14772125851657045,0.08639845017000641,0.020001149980449363,0.2672077918632529,0.007853965511802879,39491,0.6210528981286876,0.03612929456132023,0.0318825646801314,22634.580368041992,22634.580496788025,7573.829841136932,7561.897807598114,0.0,0.0,0.0,0.0,22608.54138326645,52383.75567626953,10946.0,4213.0,13076.0,7740.0,15469.0,12573.0,0.2672077914699912,194560,760,0.3995217187036025,0.7488178453947368,40,1.0
230,3,0.019264138089195422,1.0,1.0,0.7117804276315789,0.9053470122022572,0.6444082835002949,0.056053040280178386,0.20016961348684212,0.5466633543366415,0.10942539234498613,0.039449846460238885,0.08804995888157895,0,0.0,0,0.004686559195282538,0.14643513341189215,0.0883570002318409,0.021793067751354294,0.2692961609395494,0.00802440034917948,38945,0.6058030555912184,0.036226706809707375,0.04951556604879043,21289.80433320999,21289.804334640503,7554.143090009689,7535.622447371483,0.0,0.0,0.0,0.0,21790.479684829712,54335.06964302063,11517.0,4228.0,12389.0,6939.0,15039.0,12426.0,0.269296161104974,194560,760,0.42959444960089105,0.8130756578947368,40,1.0
231,3,0.01874166977771553,1.0,1.0,0.7345137746710526,0.9118073168135707,0.6697350340454202,0.050242332279633144,0.18638466282894736,0.5477284141460369,0.10208817579244313,0.03464443281991407,0.0791015625,0,0.0,0,0.003995923122305325,0.1416565904344775,0.07578236784687951,0.021654296166410573,0.2500519340091973,0.0069627564391243815,36263,0.6238590298651518,0.036371146956164585,0.07077560319906695,19862.275466442108,19862.275482177734,6649.804639577866,6629.034930944443,0.0,0.0,0.0,0.0,20439.886884212494,46708.24215698242,10885.0,4527.0,12735.0,7707.0,12643.0,10389.0,0.250051933977949,194560,760,0.4209750780345578,0.7999845805921053,40,1.0
232,3,0.018225370826118276,1.0,1.0,0.7197419819078947,0.9110413848582092,0.6557147319379606,0.0495433610631153,0.19752261513157895,0.5534453194246235,0.10931796682508368,0.0379414043450532,0.08273540296052631,0,0.0,0,0.0038165032700482313,0.1434878623309104,0.07894278775998637,0.021456626877188682,0.254562205089682,0.006858424851548319,38430,0.6324225865209472,0.036355042462482265,0.09549150281252627,21268.903641700745,21268.90362548828,6911.2836837768555,6878.467513680458,0.0,0.0,0.0,0.0,22171.159451961517,47770.332235336304,11349.0,4600.0,12766.0,7794.0,14315.0,11910.0,0.2545622049977905,194560,760,0.41849714021541573,0.7851254111842105,40,1.0
233,3,0.017715297852401824,1.0,1.0,0.7236739309210526,0.9024990386696291,0.6531150269665216,0.052822189715592875,0.19461862664473684,0.5407094969800452,0.1052321397160229,0.03685903236404747,0.08170744243421052,0,0.0,0,0.003922042983303025,0.1416253518901373,0.07698004721835451,0.021989935499272847,0.2516194017562827,0.00710202416521497,37865,0.6354681103921828,0.036589725614574395,0.12346426699819452,20473.965107917786,20473.965103149414,6692.423267960548,6652.128672838211,0.0,0.0,0.0,0.0,22070.47753095627,46725.51356601715,10827.0,4281.0,12869.0,7923.0,14169.0,11858.0,0.2516194012408194,194560,760,0.43341159714679967,0.8247892680921053,40,1.0
234,3,0.017211506791815812,1.0,1.0,0.7174753289473684,0.9199506730239189,0.6600419117431892,0.04620948026177326,0.19661287006578948,0.5721373533986301,0.11248956712354954,0.03800797443162944,0.0859118009868421,0,0.0,0,0.003804237653974652,0.14531398973378695,0.08071168529506968,0.01987740837233631,0.2573289146733632,0.007621593618195651,38253,0.6393746895668314,0.03636960505851005,0.15446867550656762,21885.970151901245,21885.9701795578,7058.9895704984665,7005.818774104118,0.0,0.0,0.0,0.0,22397.428972244263,46633.87057495117,10791.0,4428.0,12927.0,7797.0,14535.0,12233.0,0.25732891388041407,194560,760,0.37917529128884014,0.7159590871710526,40,1.0
235,3,0.01671405289072718,1.0,1.0,0.7335988898026315,0.9142422765855249,0.6706871191137715,0.053212946243461616,0.19023951480263157,0.5682260840764851,0.10809905453290987,0.03485983976953369,0.07616159539473684,0,0.0,0,0.003952853894282414,0.14109576772408267,0.07539838152251353,0.021158115306967186,0.24778089836949796,0.006175779921652161,37013,0.6785183584146111,0.036663278349136054,0.1882550990706332,21031.75196504593,21031.752049922943,5886.953465104103,5821.000939846039,0.0,0.0,0.0,0.0,23020.502745628357,39710.858879089355,9886.0,4152.0,11810.0,7633.0,15317.0,13329.0,0.24778089835063408,194560,760,0.40433066203013845,0.7592722039473684,40,1.0
