round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,L_feature_effective,teacher_b_visits,teacher_b_precision,bc_feature_std,tail_gate,tail_b_old_mass,tail_b_new_mass,tail_b_old_wrong,tail_b_new_wrong,tail_a_guard_visits,tail_a_guard_correct,tail_a_removed_correct,tail_a_removed_wrong,tail_b_true_prob,tail_b_true_nll,tail_score_0_visits,tail_score_0_correct,tail_score_1_visits,tail_score_1_correct,tail_score_2_visits,tail_score_2_correct,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
226,3,0.021414549027539767,1.0,1.0,0.7305304276315789,0.9023142161291624,0.65916799016689,0.049153276480807875,0.1892783717105263,0.5355413629030706,0.10136639715392927,0.03601994910614418,0.08019120065789474,0,0.0,0,0.003902269630519808,0.14256515291176344,0.0750393864649691,0.021448736869190868,0.2503105699447961,0.007355024068352864,36826,0.6402270135230543,0.03647495605247585,0.002012853002380466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21691.578345298767,46213.88064956665,0.0,0.0,0.0,0.0,0.0,0.0,0.2503105701192429,194560,760,0.44311376410095316,0.8353618421052632,40,1.0
227,3,0.020867982892622833,1.0,1.0,0.6947471217105263,0.8960098252490823,0.6225002471161516,0.06315450270562188,0.21421669407894736,0.5455237641502259,0.11686029729776476,0.04351511566936479,0.09103618421052631,0,0.0,0,0.005081390897095461,0.15005662712807719,0.08720569572117376,0.022064758074518884,0.2722228584984259,0.00781438667756064,41678,0.6586208551274053,0.03620538325784238,0.008035205700685166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25290.084789276123,48118.60486125946,0.0,0.0,0.0,0.0,0.0,0.0,0.27222285934380797,194560,760,0.4259443529734486,0.814710115131579,40,1.0
228,3,0.02032735294339415,1.0,1.0,0.700426603618421,0.9155661759825283,0.6412869070313478,0.05902925640908315,0.2114309210526316,0.5717544661612419,0.12088657339642707,0.03985584956520286,0.08814247532894737,0,0.0,0,0.004340470927395233,0.15343510529124424,0.0871741727974854,0.02012310011018264,0.2725684985392314,0.007495649412923836,41136,0.6480211979774407,0.036312074792620386,0.01801856965207338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24600.38447856903,49630.40572834015,0.0,0.0,0.0,0.0,0.0,0.0,0.27256850012038886,194560,760,0.38784215824776574,0.7300164473684211,40,1.0
229,3,0.01979271846601995,1.0,1.0,0.7092105263157895,0.9181947715317827,0.6511933971784617,0.05172165206259754,0.20363898026315788,0.5720610618470956,0.11649393128280185,0.040073655110992194,0.08715049342105263,0,0.0,0,0.00527077272934931,0.14661642660043742,0.0868976587601202,0.020033394026717076,0.26668395615080953,0.007865704034185527,39620,0.6171125694093892,0.036111787986010314,0.0318825646801314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22502.179901599884,53221.92406082153,0.0,0.0,0.0,0.0,0.0,0.0,0.26668395561803326,194560,760,0.39983042472679364,0.74951171875,40,1.0
230,3,0.019264138089195422,1.0,1.0,0.7109375,0.9035590602594555,0.6423740194032067,0.05492648650573469,0.2006321957236842,0.5466200995784235,0.10966959080511803,0.039077344032519154,0.08843030427631579,0,0.0,0,0.004645124472881434,0.14619617431767676,0.08811601705260967,0.021729552918358853,0.26856604569439174,0.00787917693286497,39035,0.6058409120020495,0.03620953696142686,0.04951556604879043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21837.521240234375,54440.349937438965,0.0,0.0,0.0,0.0,0.0,0.0,0.26856604577287246,194560,760,0.42957903276148596,0.81279296875,40,1.0
231,3,0.01874166977771553,1.0,1.0,0.7344983552631579,0.9123014995060502,0.6700839508913066,0.04968126576491877,0.1864771792763158,0.5484936297989638,0.10228154493593856,0.034652517480457105,0.07902446546052631,0,0.0,0,0.003991177922044268,0.14156498158546654,0.07555606791406477,0.021617329765699415,0.24940957542684994,0.006680018239574948,36281,0.6229431382817453,0.03636496034205744,0.07077560319906695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20459.46610403061,46519.95785903931,0.0,0.0,0.0,0.0,0.0,0.0,0.24940957563292038,194560,760,0.4206765007619795,0.7993678042763158,40,1.0
232,3,0.018225370826118276,1.0,1.0,0.7202765213815789,0.9100696337757525,0.6555017900310065,0.04996320118416885,0.19764597039473683,0.5509289652085896,0.1088888899472199,0.037847831950057295,0.08207750822368422,0,0.0,0,0.003709848258318073,0.14199115640336746,0.07907601636099187,0.021370800325745034,0.2525434509665923,0.006395629618169838,38454,0.6362146980808239,0.0363521574653293,0.09549150281252627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22276.006237983704,47100.04392147064,0.0,0.0,0.0,0.0,0.0,0.0,0.2525434508331512,194560,760,0.41858635483995865,0.7860145970394737,40,1.0
233,3,0.017715297852401824,1.0,1.0,0.7230622944078947,0.903657358313123,0.6534005628604638,0.05198503971516498,0.1947728207236842,0.5409711849974177,0.10536648363218104,0.03730925292352607,0.08216488486842105,0,0.0,0,0.003956112569989943,0.14102946541419153,0.07795553252247996,0.021916883462353754,0.25135007770530615,0.006492083736290959,37895,0.6376039055284338,0.03656405398230019,0.12346426699819452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22052.594029903412,47155.94781112671,0.0,0.0,0.0,0.0,0.0,0.0,0.2513500780357342,194560,760,0.43280763730014626,0.8238024259868421,40,1.0
234,3,0.017211506791815812,1.0,1.0,0.7176449424342105,0.918812401753616,0.6593810731643125,0.046504086002364366,0.19656661184210528,0.5698897575511679,0.1120212987653519,0.03793896895367652,0.08578844572368421,0,0.0,0,0.0038027707399650307,0.14471056713771663,0.08071702327334175,0.019811398279117914,0.2559140552726718,0.0068722958425305,38244,0.6391329358853677,0.036367959592883525,0.15446867550656762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22375.15268611908,46620.04707956314,0.0,0.0,0.0,0.0,0.0,0.0,0.25591405514431625,194560,760,0.3795020300110704,0.7163291529605263,40,1.0
235,3,0.01671405289072718,1.0,1.0,0.7330489309210526,0.9146932448481709,0.6705149052566604,0.05303956273832897,0.19014185855263158,0.5679343036879086,0.10798808403901364,0.03500898359772308,0.07680921052631579,0,0.0,0,0.003881612592828644,0.14149566426579105,0.07603232288046886,0.02111036972387841,0.2481520925614735,0.005632123098506494,36994,0.6774071471049359,0.03664584690214772,0.1882550990706332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22976.21550798416,40160.65048789978,0.0,0.0,0.0,0.0,0.0,0.0,0.24815209252073578,194560,760,0.4042689050106626,0.7589226973684211,40,1.0
